MUNICIPIO;UF;Total_Postos;Total_PAE;Total_Agências;Populacao;Coeficiente de ajuste populacional;IDHM;Nível de bancarização;Teledensidade estadual;Probabilidade_de_conversão;Clientes_Convertidos
ABADIA DE GOIAS ;GO;2,000000;2,000000;;8958;10;0,708000;0,000447;0,407122;0,860000;77
ABADIA DOS DOURADOS ;MG;2,000000;1,000000;;7006;10;0,689000;0,000428;0,225949;0,360000;25
ABADIANIA ;GO;1,000000;2,000000;2,000000;20461;15;0,689000;0,000244;0,178242;0,040000;8
ABAETE;MG;2,000000;6,000000;3,000000;23250;15;0,698000;0,000473;0,068086;0,020000;5
ABAIARA ;CE;1,000000;1,000000;;11853;10;0,628000;0,000169;0,192947;0,120000;14
ABAIRA;BA;2,000000;2,000000;;8710;10;0,603000;0,000459;0,451206;0,190000;17
ABATIA;PR;1,000000;1,000000;1,000000;7408;10;0,687000;0,000405;0,099082;0,150000;11
ABDON BATISTA ;SC;1,000000;1,000000;;2548;5;0,694000;0,000785;1,580455;16,960000;432
ABEL FIGUEIREDO ;PA;2;1;1;7486;10;0,622000;0,000534;0,246727;0,140000;10
ABELARDO LUZ;SC;5,000000;5,000000;3,000000;17960;10;0,696000;0,000724;0,224220;0,400000;72
ABRE CAMPO;MG;2,000000;5,000000;1,000000;13444;10;0,654000;0,000595;0,117748;0,110000;15
ABREULANDIA ;TO;1,000000;1,000000;;2594;5;0,665000;0,000771;0,184271;1,600000;42
ACAIACA ;MG;1,000000;1,000000;;3994;5;0,630000;0,000501;0,396345;2,620000;105
ACAJUTIBA ;BA;1,000000;2,000000;1,000000;15187;10;0,582000;0,000263;0,258774;0,080000;12
ACARAPE ;CE;1,000000;2,000000;;15036;10;0,606000;0,000200;0,152102;0,070000;11
ACARI ;RN;;1,000000;;11121;10;0,679000;0,000090;0,085154;0,120000;13
ACEGUA;PI;1,000000;;1,000000;7102;10;0,528000;0,000282;0,411293;0,050000;4
ACOPIARA;RS;;3,000000;4,000000;4942;5;0,687000;0,001416;0,028733;0,290000;14
ACRELANDIA;MT;3,000000;2,000000;1,000000;5334;10;0,628000;0,001125;2,003937;1,270000;68
ACREUNA ;AC;3,000000;3,000000;3,000000;15490;10;0,604000;0,000581;0,015494;0,010000;2
ACU ;GO;;3,000000;4,000000;22546;15;0,686000;0,000310;0,161758;0,040000;9
ADAMANTINA;MG;4,000000;8,000000;5,000000;9368;10;0,610000;0,001815;0,168980;0,080000;7
ADELANDIA ;SP;1,000000;1,000000;;35111;15;0,790000;0,000057;0,019168;0,040000;14
ADOLFO;GO;1,000000;1,000000;1,000000;2516;5;0,702000;0,001192;1,449523;16,470000;414
ADRIANOPOLIS;SP;;;1,000000;3554;5;0,730000;0,000281;0,189364;2,620000;93
ADUSTINA;PR;2,000000;2,000000;;5857;10;0,667000;0,000683;0,125320;0,150000;9
AFOGADOS DA INGAZEIRA ;BA;2,000000;4,000000;3,000000;17126;10;0,546000;0,000526;0,229476;0,040000;7
AFONSO BEZERRA;PE;1,000000;2,000000;;37404;15;0,657000;0,000080;0,163164;0,020000;7
AFONSO CLAUDIO;RN;2,000000;4,000000;3,000000;11029;10;0,585000;0,000816;0,085865;0,030000;3
AFONSO CUNHA;ES;1,000000;1,000000;;30455;15;0,667000;0,000066;0,068232;0,010000;3
AFRANIO ;MA;1,000000;2,000000;1,000000;6578;10;0,529000;0,000608;0,182578;0,020000;1
AFUA;PE;1,000000;3,000000;2,000000;19810;10;0,588000;0,000303;0,308077;0,100000;20
AGRICOLANDIA;PE;1,000000;1,000000;;25065;15;0,592000;0,000080;0,243487;0,010000;3
AGROLANDIA;PI;3,000000;2,000000;2,000000;5131;10;0,599000;0,001364;0,569285;0,230000;12
AGRONOMICA;SC;4,000000;1,000000;;11013;10;0,725000;0,000454;0,365659;0,980000;108
AGUA AZUL DO NORTE;SC;2,000000;2,000000;1,000000;5509;10;0,741000;0,000908;0,730986;2,430000;134
AGUA BRANCA ;MG;3,000000;6,000000;4,000000;13523;10;0,576000;0,000961;0,117060;0,030000;4
AGUA CLARA;MT;3,000000;2,000000;1,000000;26204;15;0,729000;0,000229;0,407915;0,240000;63
AGUA COMPRIDA ;PI;1,000000;1,000000;;10306;10;0,549000;0,000194;0,283427;0,050000;5
AGUA DOCE ;PB;4,000000;2,000000;1,000000;17470;10;0,572000;0,000401;0,073784;0,020000;3
AGUA DOCE DO NORTE;MS;1,000000;2,000000;1,000000;15776;10;0,670000;0,000254;0,084242;0,100000;16
AGUA FRIA ;MG;1,000000;2,000000;1,000000;1992;5;0,675000;0,002008;0,794679;7,420000;148
AGUA FRIA DE GOIAS;SC;1,000000;1,000000;;7152;10;0,698000;0,000280;0,563059;1,030000;74
AGUA LIMPA;MA;1,000000;;;12652;10;0,500000;0,000079;0,094926;0,010000;1
AGUA PRETA;ES;1,000000;3,000000;1,000000;10909;10;0,652000;0,000458;0,190485;0,180000;20
AGUA SANTA;BA;1,000000;1,000000;2,000000;17033;10;0,550000;0,000235;0,230729;0,040000;7
AGUAI ;GO;3,000000;3,000000;5,000000;5793;10;0,671000;0,001899;0,629553;0,780000;45
AGUANIL ;GO;1,000000;2,000000;;1830;5;0,722000;0,001639;1,992896;26,070000;477
AGUAS BELAS ;RN;1,000000;2,000000;2,000000;3272;5;0,616000;0,001528;0,289425;1,710000;56
AGUAS DE CHAPECO;RS;3,000000;1,000000;;3743;5;0,750000;0,001069;0,037937;0,600000;22
AGUAS DE LINDOIA;SP;1,000000;4,000000;5,000000;36648;15;0,715000;0,000273;0,018364;0,010000;4
AGUAS DE SANTA BARBARA;MG;;2,000000;2,000000;4522;5;0,663000;0,000885;0,350066;2,990000;135
AGUAS FORMOSAS;SP;1,000000;6,000000;4,000000;8221;10;0,781000;0,001338;0,081864;0,460000;38
AGUAS FRIAS ;SC;3,000000;;;6515;10;0,713000;0,000460;0,618112;1,400000;91
AGUAS LINDAS DE GOIAS ;SP;1,000000;7,000000;6,000000;18808;10;0,745000;0,000744;0,035783;0,130000;24
AGUAS MORNAS;SP;3,000000;1,000000;;6109;10;0,757000;0,000655;0,110165;0,450000;27
AGUAS VERMELHAS ;SP;;;1,000000;3521;5;0,854000;0,000284;0,191139;5,790000;204
AGUDO ;MG;4,000000;5,000000;2,000000;19247;10;0,645000;0,000572;0,082247;0,070000;13
AGUDOS;SC;5,000000;7,000000;5,000000;2354;5;0,745000;0,007222;1,710705;26,170000;616
